date,incident_type,severity,status,description,reported_by,created_at
2025-07-07,Ransomware,Low,Investigating,Data exfiltration suspected,IT Admin,2025-07-07 23:43:57
2025-07-20,Unauthorized Access,Medium,Open,Detected unusual traffic,IT Admin,2025-07-20 10:43:57
2025-07-12,Phishing Attack,Critical,Open,Suspicious login attempt,Security Engineer,2025-07-12 23:43:57
2025-09-01,Unauthorized Access,Medium,Closed,Data exfiltration suspected,Security Engineer,2025-09-02 06:43:57
2025-11-23,Malware Infection,Critical,Investigating,Malware signature found,Security Engineer,2025-11-24 19:43:57
2025-08-15,DDoS Attack,Medium,Resolved,Suspicious login attempt,SOC Analyst,2025-08-16 22:43:57
2025-06-23,Phishing Attack,High,Resolved,Suspicious login attempt,SOC Analyst,2025-06-24 14:43:57
2025-10-23,Ransomware,High,Resolved,Malware signature found,IT Admin,2025-10-24 21:43:57
2025-07-11,DDoS Attack,High,Resolved,Suspicious login attempt,Security Engineer,2025-07-12 04:43:57
2025-08-04,Data Breach,Medium,Resolved,Data exfiltration suspected,Security Engineer,2025-08-05 15:43:57
2025-09-02,Phishing Attack,Critical,Resolved,Detected unusual traffic,SOC Analyst,2025-09-03 21:43:57
2025-10-05,Phishing Attack,Medium,Closed,Detected unusual traffic,IT Admin,2025-10-05 10:43:57
2025-09-03,Data Breach,Critical,Closed,Suspicious login attempt,Employee,2025-09-03 18:43:57
2025-08-08,Unauthorized Access,Medium,Investigating,Data exfiltration suspected,IT Admin,2025-08-09 22:43:57
2025-11-24,DDoS Attack,Medium,Open,Malware signature found,Employee,2025-11-24 18:43:57
2025-09-09,Data Breach,Low,Resolved,Malware signature found,SOC Analyst,2025-09-10 01:43:57
2025-09-20,Phishing Attack,High,Closed,Detected unusual traffic,Employee,2025-09-20 22:43:57
2025-08-16,Malware Infection,Low,Closed,Detected unusual traffic,SOC Analyst,2025-08-17 04:43:57
2025-07-30,Malware Infection,Critical,Open,Detected unusual traffic,Security Engineer,2025-07-31 12:43:57
2025-10-08,Unauthorized Access,Critical,Resolved,Data exfiltration suspected,SOC Analyst,2025-10-09 02:43:57
2025-08-24,Malware Infection,Critical,Closed,Malware signature found,IT Admin,2025-08-25 18:43:57
2025-07-06,Unauthorized Access,Medium,Investigating,Malware signature found,IT Admin,2025-07-06 13:43:57
2025-09-06,DDoS Attack,Low,Investigating,Data exfiltration suspected,Employee,2025-09-07 17:43:57
2025-09-21,Unauthorized Access,Low,Investigating,Detected unusual traffic,IT Admin,2025-09-21 07:43:57
2025-09-11,Ransomware,Medium,Resolved,Malware signature found,Employee,2025-09-12 09:43:57
2025-07-13,Ransomware,High,Investigating,Suspicious login attempt,SOC Analyst,2025-07-14 11:43:57
2025-07-13,Data Breach,Medium,Open,Detected unusual traffic,Security Engineer,2025-07-14 17:43:57
2025-09-22,Ransomware,Critical,Resolved,Data exfiltration suspected,Security Engineer,2025-09-22 23:43:57
2025-10-08,Unauthorized Access,High,Investigating,Suspicious login attempt,IT Admin,2025-10-09 04:43:57
2025-07-15,Data Breach,High,Open,Detected unusual traffic,SOC Analyst,2025-07-15 06:43:57
2025-07-22,DDoS Attack,Critical,Investigating,Detected unusual traffic,Employee,2025-07-22 04:43:57
2025-09-17,DDoS Attack,Medium,Resolved,Data exfiltration suspected,SOC Analyst,2025-09-18 00:43:57
2025-08-07,Data Breach,Critical,Open,Suspicious login attempt,SOC Analyst,2025-08-08 08:43:57
2025-10-14,Unauthorized Access,Low,Open,Suspicious login attempt,Employee,2025-10-15 07:43:57
2025-08-12,Data Breach,Medium,Investigating,Suspicious login attempt,Security Engineer,2025-08-12 08:43:57
2025-07-18,Unauthorized Access,Critical,Open,Data exfiltration suspected,SOC Analyst,2025-07-20 03:43:57
2025-07-03,Phishing Attack,Low,Closed,Suspicious login attempt,Security Engineer,2025-07-04 05:43:57
2025-11-10,Ransomware,Critical,Open,Detected unusual traffic,Employee,2025-11-11 16:43:57
2025-09-19,Unauthorized Access,Medium,Open,Detected unusual traffic,Employee,2025-09-20 07:43:57
2025-10-22,Ransomware,Medium,Closed,Suspicious login attempt,Employee,2025-10-24 02:43:57
2025-06-14,Unauthorized Access,High,Resolved,Suspicious login attempt,SOC Analyst,2025-06-14 20:43:57
2025-07-06,Unauthorized Access,Medium,Open,Malware signature found,IT Admin,2025-07-06 11:43:57
2025-10-10,Ransomware,Critical,Open,Detected unusual traffic,IT Admin,2025-10-10 12:43:57
2025-11-22,Phishing Attack,High,Closed,Suspicious login attempt,SOC Analyst,2025-11-23 21:43:57
2025-09-29,DDoS Attack,Critical,Closed,Suspicious login attempt,SOC Analyst,2025-09-29 07:43:57
2025-08-17,Malware Infection,Medium,Resolved,Suspicious login attempt,IT Admin,2025-08-19 02:43:57
2025-08-23,Malware Infection,Medium,Open,Detected unusual traffic,Security Engineer,2025-08-24 16:43:57
2025-10-13,Data Breach,Low,Resolved,Data exfiltration suspected,IT Admin,2025-10-13 09:43:57
2025-11-26,DDoS Attack,High,Open,Detected unusual traffic,IT Admin,2025-11-26 09:43:57
2025-07-18,Phishing Attack,Critical,Closed,Suspicious login attempt,Security Engineer,2025-07-18 06:43:57
2025-09-11,Unauthorized Access,Critical,Resolved,Data exfiltration suspected,Employee,2025-09-11 09:43:57
2025-06-13,Malware Infection,High,Investigating,Data exfiltration suspected,SOC Analyst,2025-06-14 08:43:57
2025-07-16,Unauthorized Access,Low,Investigating,Data exfiltration suspected,Employee,2025-07-16 05:43:57
2025-07-11,DDoS Attack,Low,Closed,Malware signature found,SOC Analyst,2025-07-11 23:43:57
2025-06-09,Data Breach,Critical,Investigating,Malware signature found,Employee,2025-06-10 09:43:57
