dataset_name,category,source,last_updated,record_count,file_size_mb,created_at
Dataset_0001,Healthcare,Internal System,2025-03-03,912068,188.09,2025-03-03 03:47:13
Dataset_0002,Finance,API Feed,2025-01-19,951162,56.81,2025-01-19 03:47:13
Dataset_0003,Transportation,User Upload,2024-12-10,812893,30.14,2024-12-10 03:47:13
Dataset_0004,Finance,Third-Party Vendor,2025-07-12,197113,76.49,2025-07-12 03:47:13
Dataset_0005,Finance,Open Data Portal,2025-02-12,344648,485.65,2025-02-12 03:47:13
Dataset_0006,Transportation,User Upload,2025-02-26,39512,481.35,2025-02-26 03:47:13
Dataset_0007,Education,Third-Party Vendor,2025-05-13,214506,497.26,2025-05-13 03:47:13
Dataset_0008,Healthcare,Open Data Portal,2025-01-31,190613,468.37,2025-01-31 03:47:13
Dataset_0009,Cybersecurity,Internal System,2025-04-21,30778,103.21,2025-04-21 03:47:13
Dataset_0010,Retail,User Upload,2025-02-13,326938,25.55,2025-02-13 03:47:13
Dataset_0011,Education,User Upload,2025-11-01,933555,370.94,2025-11-01 03:47:13
Dataset_0012,Finance,Internal System,2025-06-25,377950,481.91,2025-06-25 03:47:13
Dataset_0013,Retail,Internal System,2025-03-14,284540,166.19,2025-03-14 03:47:13
Dataset_0014,Education,Internal System,2025-06-17,647767,267.22,2025-06-17 03:47:13
Dataset_0015,Healthcare,Third-Party Vendor,2025-11-22,32999,29.63,2025-11-22 03:47:13
Dataset_0016,Education,User Upload,2025-03-29,697869,398.05,2025-03-29 03:47:13
Dataset_0017,Retail,Internal System,2025-10-11,614732,32.58,2025-10-11 03:47:13
Dataset_0018,Transportation,Internal System,2025-03-19,727312,61.43,2025-03-19 03:47:13
Dataset_0019,Education,API Feed,2025-08-28,271705,322.19,2025-08-28 03:47:13
Dataset_0020,Education,Open Data Portal,2025-07-10,846724,36.94,2025-07-10 03:47:13
Dataset_0021,Transportation,Open Data Portal,2025-02-13,276676,35.17,2025-02-13 03:47:13
Dataset_0022,Transportation,Open Data Portal,2025-04-06,948640,172.08,2025-04-06 03:47:13
Dataset_0023,Finance,User Upload,2025-05-22,44594,149.28,2025-05-22 03:47:13
Dataset_0024,Transportation,Internal System,2025-04-05,907258,24.19,2025-04-05 03:47:13
Dataset_0025,Transportation,User Upload,2025-07-10,314946,271.07,2025-07-10 03:47:13
Dataset_0026,Education,API Feed,2025-08-15,429063,287.85,2025-08-15 03:47:13
Dataset_0027,Healthcare,Third-Party Vendor,2025-04-30,726190,382.5,2025-04-30 03:47:13
Dataset_0028,Cybersecurity,API Feed,2025-08-11,948256,196.62,2025-08-11 03:47:13
Dataset_0029,Education,Third-Party Vendor,2025-06-15,89726,49.87,2025-06-15 03:47:13
Dataset_0030,Cybersecurity,Third-Party Vendor,2025-02-04,327711,338.41,2025-02-04 03:47:13
Dataset_0031,Finance,API Feed,2025-10-10,88025,127.56,2025-10-10 03:47:13
Dataset_0032,Retail,User Upload,2025-03-04,763078,314.22,2025-03-04 03:47:13
Dataset_0033,Transportation,User Upload,2025-06-24,799173,414.74,2025-06-24 03:47:13
Dataset_0034,Healthcare,Third-Party Vendor,2025-06-05,856824,162.53,2025-06-05 03:47:13
Dataset_0035,Cybersecurity,Internal System,2025-04-02,901686,212.79,2025-04-02 03:47:13
Dataset_0036,Transportation,Open Data Portal,2025-04-24,771758,242.59,2025-04-24 03:47:13
Dataset_0037,Finance,User Upload,2025-05-04,37209,139.51,2025-05-04 03:47:13
Dataset_0038,Retail,User Upload,2025-11-17,449278,42.5,2025-11-17 03:47:13
Dataset_0039,Retail,API Feed,2025-07-25,169531,9.78,2025-07-25 03:47:13
Dataset_0040,Retail,Third-Party Vendor,2025-02-27,352713,340.58,2025-02-27 03:47:13
Dataset_0041,Retail,Third-Party Vendor,2025-05-23,154701,495.93,2025-05-23 03:47:13
Dataset_0042,Retail,Internal System,2025-01-02,148524,224.21,2025-01-02 03:47:13
Dataset_0043,Healthcare,API Feed,2025-01-07,842698,151.24,2025-01-07 03:47:13
Dataset_0044,Retail,Third-Party Vendor,2025-04-18,159537,354.21,2025-04-18 03:47:13
