ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
TCK-0001,Critical,Closed,Security,Slow performance,Slow performance reported by user 458,2025-11-27,2025-12-06,Frank,2025-11-27 03:45:11
TCK-0002,Low,Closed,Other,Slow performance,Slow performance reported by user 379,2025-07-25,2025-08-04,Charlie,2025-07-25 03:45:11
TCK-0003,Critical,Closed,Software,Slow performance,Slow performance reported by user 810,2025-06-19,2025-06-23,Frank,2025-06-19 03:45:11
TCK-0004,Critical,Investigating,Access,Email not working,Email not working reported by user 478,2025-09-12,,David,2025-09-12 03:45:11
TCK-0005,Low,Closed,Access,System outage,System outage reported by user 495,2025-07-31,2025-08-10,Frank,2025-07-31 03:45:11
TCK-0006,Medium,Open,Network,Printer error,Printer error reported by user 735,2025-11-21,,Eve,2025-11-21 03:45:11
TCK-0007,Low,Open,Access,Printer error,Printer error reported by user 280,2025-10-23,,Charlie,2025-10-23 03:45:11
TCK-0008,Low,Investigating,Security,Printer error,Printer error reported by user 444,2025-12-01,,Eve,2025-12-01 03:45:11
TCK-0009,Low,Resolved,Network,Printer error,Printer error reported by user 670,2025-11-14,2025-11-16,Charlie,2025-11-14 03:45:11
TCK-0010,High,Resolved,Network,Email not working,Email not working reported by user 986,2025-07-12,2025-07-18,Eve,2025-07-12 03:45:11
TCK-0011,Critical,Investigating,Other,System outage,System outage reported by user 926,2025-12-01,,Bob,2025-12-01 03:45:11
TCK-0012,High,Closed,Software,Email not working,Email not working reported by user 623,2025-09-25,2025-10-03,Charlie,2025-09-25 03:45:11
TCK-0013,High,Open,Software,VPN failure,VPN failure reported by user 390,2025-11-07,,Frank,2025-11-07 03:45:11
TCK-0014,Low,Investigating,Access,Printer error,Printer error reported by user 538,2025-06-28,,Frank,2025-06-28 03:45:11
TCK-0015,Critical,Open,Security,VPN failure,VPN failure reported by user 415,2025-09-17,,Charlie,2025-09-17 03:45:11
TCK-0016,Medium,Closed,Hardware,Slow performance,Slow performance reported by user 942,2025-09-01,2025-09-04,Charlie,2025-09-01 03:45:11
TCK-0017,High,Resolved,Access,Email not working,Email not working reported by user 729,2025-07-27,2025-08-06,Bob,2025-07-27 03:45:11
TCK-0018,Medium,Open,Access,Slow performance,Slow performance reported by user 470,2025-11-11,,Charlie,2025-11-11 03:45:11
TCK-0019,High,Open,Access,VPN failure,VPN failure reported by user 582,2025-08-17,,Charlie,2025-08-17 03:45:11
TCK-0020,High,Resolved,Access,Email not working,Email not working reported by user 218,2025-11-15,2025-11-16,Bob,2025-11-15 03:45:11
TCK-0021,Low,Open,Security,Slow performance,Slow performance reported by user 807,2025-10-21,,David,2025-10-21 03:45:11
TCK-0022,High,Investigating,Security,Login issue,Login issue reported by user 859,2025-10-31,,Eve,2025-10-31 03:45:11
TCK-0023,Low,Investigating,Security,Printer error,Printer error reported by user 333,2025-08-24,,Bob,2025-08-24 03:45:11
TCK-0024,Low,Open,Software,VPN failure,VPN failure reported by user 717,2025-08-14,,Bob,2025-08-14 03:45:11
